Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.1,-107.3,0.0,bottom
C10,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.6,-91.7,0.0,top
C11,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.9,-89.8,180.0,top
C12,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.5,-93.1,180.0,bottom
C13,3.3u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.0675,-103.4,0.0,bottom
C14,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.4325,-103.4,0.0,bottom
C15,3.3u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.5325,-107.7,180.0,top
C16,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.6,-86.9,0.0,top
C17,27pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.6,-97.7,180.0,top
C18,27pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.0,-94.3675,-90.0,top
C2,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.8,-108.2675,90.0,top
C3,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.1,-98.3,270.0,bottom
C4,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.5,-112.9,180.0,top
C5,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146.6,-112.9,0.0,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.5,-104.9,180.0,top
C7,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.8325,-97.7,180.0,top
C8,3.3u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.5675,-106.4,0.0,bottom
C9,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.0675,-105.8,0.0,bottom
D1,PRTR5V0U2X,SOT-143,130.1,-97.5,90.0,bottom
FB1,MMZ1608Y102B,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.1,-105.4,270.0,bottom
FB2,MMZ1608Y102B,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.3,-100.2375,270.0,bottom
FID1,Fiducial,Fiducial_1mm_Mask3mm,129.5,-86.1,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask3mm,165.2,-112.3,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask3mm,129.5,-86.1,0.0,bottom
FID4,Fiducial,Fiducial_1mm_Mask3mm,165.2,-112.3,0.0,bottom
J1,Conn_02x05_Odd_Even,IDC-Header_2x05_P2.54mm_Vertical,160.77,-97.72,0.0,top
J4,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,125.4,-97.7,-90.0,top
J6,Conn_02x08_Odd_Even,PinHeader_2x08_P1.27mm_Vertical,169.465,-97.965,0.0,top
R1,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.3025,-88.0,0.0,top
R10,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.8025,-86.2,0.0,top
R11,2.15k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,148.4,-96.7,180.0,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.9025,-94.0,0.0,top
R3,5.11k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,154.9,-109.2025,90.0,top
R4,5.11k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.3,-109.2,90.0,top
R5,12.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.0,-103.3025,-90.0,top
R6,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.5975,-109.9,0.0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.0975,-94.4,0.0,bottom
R8,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.0975,-92.6,0.0,bottom
R9,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.0975,-90.5,0.0,bottom
U1,LP2985-3.3,SOT-23-5,130.9375,-91.45,270.0,top
U2,FT2232HL,LQFP-64_10x10mm_P0.5mm,144.05,-105.625,270.0,top
U3,AT93C46DN-SH-T,SOIC-8_3.9x4.9mm_P1.27mm,147.095,-91.975,0.0,top
Y1,12.00 MHz,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm_HandSoldering,136.9,-94.25,90.0,top
